,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,35815036,1,TRUE,Noord-Oost,52.42419,4.95689,Entire home/apt,2,1,1,5,105,3,100,TRUE,4,6,4.96,FALSE,52.5,315,0.05,0.12,0.16,4.99,0.664835165,528.8873626
1,19572024,1,FALSE,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3,6,14,279,3,44,TRUE,6,3,4.69,FALSE,46.5,837,0.09,0.16,0.14,4.99,0.816438356,1496.547945
2,2973384,0.38,FALSE,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3,3,7,185,6,21,TRUE,0,0,4.83,FALSE,37,1110,0.06,0.12,0.18,4.99,0.035616438,941.3013699
3,34985473,1,TRUE,Noord-Oost,52.42831,5.042191,Entire home/apt,5,3,4,4,135,6,101,TRUE,7,0,4.43,FALSE,27,810,0.08,0.13,0.17,4.99,0.161643836,748.5616438
4,44174770,1,TRUE,Watergraafsmeer,52.33715,4.95199,Private room,1,1,1,8,59,30,101,TRUE,0,0,4.88,TRUE,59,1770,0.05,0.12,0.15,2.99,0.671232877,296.5068493
5,50065811,0.92,FALSE,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3,4,14,275,5,42,TRUE,18,1,4.14,FALSE,45.84,1375,0.02,0.15,0.28,4.99,0.460273973,1375
6,51340421,0.64,FALSE,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2,2,11,275,1,101,TRUE,10,3,4.73,FALSE,68.75,275,0.11,0.15,0.23,4.99,0.333333333,1345.238095
7,18082645,0.29,FALSE,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,3,2,6,150,4,101,TRUE,1,1,4.88,FALSE,25,600,0.09,0.13,0.18,4.99,0.068493151,895.890411
8,47709873,1,FALSE,Westerpark,52.39589,4.87612,Entire home/apt,2,1,1,6,210,3,120,TRUE,0,0,4.75,TRUE,105,630,0.09,0.15,0.19,4.99,0.435616438,1084.849315
9,2818,1,TRUE,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1,2,4,49,3,28,TRUE,3,4,4.47,TRUE,24.5,147,0.08,0.1,0.14,0.99,0.208219178,346.9041096
10,44391,0.67,FALSE,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2,2,1,240,3,-38,TRUE,0,0,4.71,FALSE,60,720,0.09,0.17,0.29,4.99,0,1200
11,49552,0.92,TRUE,Centrum-West,52.38028,4.89089,Entire home/apt,3,2,2,5,232,3,101,TRUE,0,8,4.91,FALSE,77.3,696,0.1,0.25,0.25,4.99,0.458100559,1162.5
12,55709,0.19,FALSE,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1,1,5,151,3,30,TRUE,0,0,4.95,FALSE,75.5,453,0.09,0.19,0.24,4.99,0.002739726,818.6849315
13,55868,0,FALSE,Zuid,52.35597,4.88512,Entire home/apt,4,2,2,1,149,4,21,TRUE,0,0,4.86,FALSE,37.25,596,0.06,0.14,0.18,4.99,0,749.2191781
14,80635,0.87,TRUE,Centrum-West,52.37828,4.8944,Private room,1,1,1,1,82,3,101,TRUE,0,0,4.77,TRUE,82,246,0.05,0.11,0.15,4.99,0,409.2465753
15,97476,0.78,FALSE,Zuid,52.35665,4.86363,Entire home/apt,2,1,1,10,115,14,30,TRUE,0,0,4.89,FALSE,57.5,1610,0.07,0.14,0.18,4.99,0,575
